Name,Image,Description,Rate,Type,Dest,Kosher
בכור את שושי,https://d25t2285lxl5rf.cloudfront.net/images/shops/1308.gif,"אוכל ביתי, בשרים",4,אוכל ביתי,"יד חרוצים 13 תל אביב יפו, 32.061837, 34.783249",
רוזינקא,https://d25t2285lxl5rf.cloudfront.net/images/shops/16189.png,"אוכל ביתי, בשרים",4,אוכל ביתי,"לילנבלום 41 תל אביב יפו, 32.062511, 34.772805",
זופה,https://d25t2285lxl5rf.cloudfront.net/images/shops/7046.png,"אוכל ביתי, סלטים/סנדוויצ'ים, אוכל טבעוני",3.5,אוכל ביתי,"אחד העם 19 תל אביב יפו, 32.064024, 34.771607",
תאתא,https://d25t2285lxl5rf.cloudfront.net/images/shops/7251.jpg,"אוכל ביתי, דגים, בשרים",3.5,אוכל ביתי,"הרצל 22 תל אביב יפו, 32.060957, 34.770388",yes
יוחנן,https://d25t2285lxl5rf.cloudfront.net/images/shops/8330.png,"אוכל ביתי, אוכל טבעוני",4,"אוכל ביתי, טבעוני","חשמונאים 86 תל אביב יפו, 32.069517, 34.783643",
מזנון אייל שני,https://d25t2285lxl5rf.cloudfront.net/images/shops/13780.png,"בשרים, אוכל טבעוני, פירות ים",3.5,"בשרים, אוכל טבעוני","קינג ג'ורג 30 תל אביב יפו, 32.072404, 34.774105",
אוליב,https://d25t2285lxl5rf.cloudfront.net/images/shops/3142.gif,"סלטים/סנדוויצ`ים, בית קפה, איטלקי",3,"סלטים, סנדוויצ'ים, איטלקי","לילינבלום 24 תל אביב יפו, 32.062155, 34.769973",
רוסטיקו,https://cdn.secrettelaviv.com/wp-content/uploads/2016/02/22403_15826_662359807197679_3312015925972274611_n.png,איטלקי,,איטלקי,"רוטשילד 15 תל אביב,  32.063166, 34.770971",
דומינוס,https://www.mishloha.co.il/files/rest_logo_b/81201437936957.jpg,פיצות,,איטלקי,"פלורנטין 25, תל אביב 32.056397, 34.769483",
לבורטוריו די פסטה ,https://d25t2285lxl5rf.cloudfront.net/images/shops/6483.png,"איטלקי, אוכל טבעוני",3.5,איטלקי,"החשמונאים 91 תל אביב יפו, 32.069662, 34.783405",yes
מרסלוס,https://d25t2285lxl5rf.cloudfront.net/images/shops/1287.gif,"בשרים, אמריקאי, דגים",4,אמריקאי,"ריבל 7 תל אביב יפו, 32.062704, 34.782283",yes
מוזס,https://d25t2285lxl5rf.cloudfront.net/images/shops/3981.gif,"המבורגר, אמריקאי, בשרים",3.5,אמריקאי,"רוטשילד 35 תל אביב, 32.063901, 34.773566",
אמריקה בורגר,http://img.mako.co.il/2015/06/14/america_c.jpg,המבורגר,,אמריקאי,"אלנבי 112 תל אביב, 32.064050, 34.772765",
פילדלפיה,https://d25t2285lxl5rf.cloudfront.net/images/shops/3809.png,"אמריקאי, בשרים, סלטים/סנדוויצ`ים",3.5,אמריקאי,"יגאל אלון 120 תל אביב יפו, 32.073850, 34.795210",
וונג,https://d25t2285lxl5rf.cloudfront.net/images/shops/8479.png,אסייתי,3.5,אסייתי,"שדרות רוטשילד 15 תל אביב יפו,  32.063166, 34.770971",
ריבר אבן גבירול,https://d25t2285lxl5rf.cloudfront.net/images/shops/1348.gif,"אסייתי, סיני, יפני/סושי",3.5,אסייתי,"אבן גבירול 30 תל אביב יפו, 32.074850, 34.781807",
טייגר לילי,https://d25t2285lxl5rf.cloudfront.net/images/shops/19198.png,"אסייתי, ללא גלוטן, דגים",4,אסייתי,"מגן קלמן, שרונה מרקט 3 תל אביב יפו, 32.071410, 34.786942",
גירף,https://d25t2285lxl5rf.cloudfront.net/images/shops/523.jpg,"אסייתי, סיני, יפני/סושי",3.5,אסייתי,"מונטיפיורי 31 תל אביב יפו, 32.065629, 34.773215",
ניני האצ'י,https://d25t2285lxl5rf.cloudfront.net/images/shops/13696.png,"אסייתי, יפני/סושי, ללא גלוטן",3.5,אסייתי,"בן יהודה 228 תל אביב יפו, 32.092225, 34.774628",yes
אובן קובן,https://d25t2285lxl5rf.cloudfront.net/images/shops/16380.png,"יפני/סושי, אסייתי",4,אסייתי,"הארבעה 16 תל אביב יפו, 32.070362, 34.784815",
TYO,https://d25t2285lxl5rf.cloudfront.net/images/shops/19548.jpg,"יפני/סושי, אסייתי, ללא גלוטן",4,אסייתי,"מונטיפיורי 7 תל אביב יפו, 32.064825, 34.769768",
אוקינאווה,https://d25t2285lxl5rf.cloudfront.net/images/shops/2287.png,"יפני/סושי, אסייתי",3.5,אסייתי,"שבזי 46 תל אביב יפו, 32.062910, 34.767023",
יאשקה,https://d25t2285lxl5rf.cloudfront.net/images/shops/19871.png,"בשרים, סלטים/סנדוויצ`ים",4,בשרים,"נחלת בנימין 73 תל אביב יפו, 32.062242, 34.772119",yes
שניצל קומפני,https://d25t2285lxl5rf.cloudfront.net/images/shops/2932.gif,"בשרים, סלטים/סנדוויצ`ים",4,בשרים,"לילנבלום 29 תל אביב יפו, 32.062282, 34.771100",yes
אגאדיר בר בורגר,https://d25t2285lxl5rf.cloudfront.net/images/shops/223.gif,"המבורגר, אמריקאי, בשרים",3,בשרים,"נחלת בנימין 2 תל אביב יפו, 32.069634, 34.770399",
אינדירה,https://d25t2285lxl5rf.cloudfront.net/images/shops/737.png,"הודי, אוכל טבעוני, בשרים",3.5,הודי,"שאול המלך 4 תל אביב יפו, 32.075529, 34.782012",
טנדורי,https://d25t2285lxl5rf.cloudfront.net/images/shops/1995.png,"הודי, אסייתי, ללא גלוטן",3.5,הודי,"זמנהוף 2 תל אביב יפו, 32.077903, 34.774735",
